"date","H1","ph1","H10","ph10"
1985-12-17,6367.25073486833,"0",6451.77866668951,"0"
1985-12-18,6610.17816696378,"1",6230.29520719078,"1"
1985-12-19,6394.92929207493,"1",6533.74062636686,"1"
1985-12-20,6572.79861246345,"1",5974.52773261146,"1"
1985-12-23,6039.8812858853,"1",5860.82614834419,"1"
1985-12-24,5795.97691417299,"1",5937.69289866721,"1"
1985-12-26,6305.86673741315,"1",6715.11066863229,"1"
1985-12-27,6800.94099058595,"1",7262.35045615888,"1"
1985-12-30,7375.33121733934,"1",7515.51485150801,"1"
1985-12-31,7579.20949839139,"1",7980.62864454276,"1"
1986-01-02,8126.59993781087,"1",8245.3481563164,"1"
1986-01-03,8386.04776010906,"1",8135.05481928092,"1"
1986-01-06,8176.22007841051,"1",7739.03427857814,"1"
1986-01-07,7748.41222219074,"1",7650.43933965381,"1"
1986-01-08,7645.38502890894,"1",6394.9876644631,"1"
1986-01-09,6360.2195947245,"1",5478.10827676058,"1"
1986-01-10,5542.26568615089,"1",4994.78504010141,"1"
1986-01-13,5003.68636503913,"1",4535.70137252792,"1"
1986-01-14,4395.14646555351,"1",4129.27776736703,"1"
1986-01-15,4101.24228982145,"1",3679.28684477343,"1"
1986-01-16,3754.88117826543,"1",3084.5043153933,"1"
1986-01-17,3076.84124528398,"1",2947.43797955019,"1"
1986-01-21,3074.3860610911,"1",3564.9407622367,"1"
1986-01-22,4086.86879064814,"1",3458.44361080838,"1"
1986-01-23,3559.89383791669,"1",2890.46918831679,"1"
1986-01-24,2935.06899107518,"1",2597.15065962971,"1"
1986-01-27,2513.64657971751,"1",2582.21473232082,"1"
1986-01-28,2567.95383327081,"1",2667.5894035698,"1"
1986-01-29,2637.04530194866,"1",3186.51217301228,"1"
1986-01-30,3083.29911744944,"1",3092.60707283447,"1"
1986-01-31,3166.43552215187,"1",3567.68431768974,"1"
1986-02-03,3258.64398172945,"1",3927.85363540423,"1"
1986-02-04,3994.30417070317,"1",4857.06169929486,"1"
1986-02-05,4778.19630233349,"1",5717.93847150539,"1"
1986-02-06,5641.82521974683,"1",6584.35800136367,"1"
1986-02-07,6928.12527824842,"1",7828.84967360122,"1"
1986-02-10,8042.89182945169,"1",8642.54124553619,"1"
1986-02-11,8833.57673302066,"1",9485.26361605725,"1"
1986-02-12,9078.11186311982,"1",9595.10410222659,"1"
1986-02-13,9707.29948033547,"1",10224.4876602665,"1"
1986-02-14,10292.0966602267,"1",10745.1199553105,"1"
1986-02-18,10671.137875922,"1",10815.0046800121,"1"
1986-02-19,10806.3257734879,"1",10994.18438678,"1"
1986-02-20,10937.9126576979,"1",11169.0637687538,"1"
1986-02-21,11174.4425446621,"1",11050.2554217797,"1"
1986-02-24,10923.2607657906,"1",11122.2403191602,"1"
1986-02-25,10687.0164796967,"1",10072.4526677153,"1"
1986-02-26,9687.18425052872,"1",9247.14795230624,"1"
1986-02-27,8917.89491402863,"1",8414.24773458937,"1"
1986-02-28,8179.39070911424,"1",8066.8910107905,"1"
1986-03-03,8012.39022473829,"1",7922.95774651048,"1"
1986-03-04,7718.97417149396,"1",7805.90700319357,"1"
1986-03-05,7705.84220743042,"1",8011.76434576785,"1"
1986-03-06,7954.56211250766,"1",7937.37040179304,"1"
1986-03-07,7881.4188592981,"1",8056.10038304051,"1"
1986-03-10,8032.22343842659,"1",8317.56561433847,"1"
1986-03-11,8458.65469039165,"1",7670.58053234811,"1"
1986-03-12,7333.03408673258,"1",6825.43896261298,"1"
1986-03-13,7124.05008686686,"1",7158.17911282402,"1"
1986-03-14,7510.78085002023,"1",7625.50065991189,"1"
1986-03-17,7918.4351412155,"1",7297.01671532876,"1"
1986-03-18,7504.34752956354,"1",7372.88477357555,"1"
1986-03-19,7127.01045458721,"1",7229.17264743475,"1"
1986-03-20,7374.00691450406,"1",7536.77002754357,"1"
1986-03-21,7789.40212354029,"1",8130.47147317425,"1"
1986-03-24,8133.10191060043,"1",8562.45251559276,"1"
1986-03-25,8502.0782574158,"1",8797.3217068078,"1"
1986-03-26,8318.34998061656,"1",7658.45449653012,"1"
1986-03-27,7354.25771200915,"1",6262.29945638169,"1"
1986-03-31,6139.71868501356,"1",5378.92274319564,"1"
1986-04-01,6033.37279039586,"1",5496.3089061926,"1"
1986-04-02,5861.53906664485,"1",5032.13109269175,"1"
1986-04-03,5234.10847773974,"1",4317.08134973989,"1"
1986-04-04,4219.99606438502,"1",3438.83905466228,"1"
1986-04-07,3191.88890443178,"1",2607.47594397178,"1"
1986-04-08,2431.21080058154,"1",2038.87631651008,"1"
1986-04-09,1819.32887498316,"1",1454.9768468439,"1"
1986-04-10,2553.78381071109,"1",2164.39471464714,"1"
1986-04-11,3465.64271104721,"1",3831.22019094113,"1"
1986-04-14,3959.68137471616,"1",4435.2501865789,"1"
1986-04-15,4367.88286537437,"1",5105.01558580669,"1"
1986-04-16,4827.40275061046,"1",5432.97321255933,"1"
1986-04-17,4313.24737615097,"1",4887.94857495393,"1"
1986-04-18,564.2761344689,"1",1181.25768099707,"1"
1986-04-21,428.411423362774,"1",849.64437268067,"1"
1986-04-22,423.605348829594,"1",727.777030063219,"1"
1986-04-23,1664.22937362117,"1",1586.75950556996,"1"
1986-04-24,983.742090915323,"1",1016.58112380287,"1"
