"","date","","","","","","","","","",""
"1",5829,7429.20627348946,0,8338.95099556324,0,7750.20264787423,0,8558.76362866328,0,11471.3665610111,0
"2",5830,7790.23243441953,0,5339.16113246537,0,7432.41467358549,0,5446.99590791759,0,9297.62802892747,0
"3",5831,7416.54338084906,0,8019.14781072228,0,7600.76732086589,0,8155.57762344126,0,11168.5466418157,0
"4",5832,7633.72316039295,0,4163.84556684538,0,6992.24111571052,0,4175.41306622466,0,8217.33603893835,0
"5",5835,7013.48776532038,0,6610.60790794107,0,6897.00568513232,0,6625.63055567704,0,9730.60179307015,0
"6",5836,6949.67184554126,0,8828.0958159253,0,7223.07568714131,0,8818.97866608004,0,11408.1263045449,0
"7",5838,7392.69647110565,0,10447.4594789902,0,7934.41513101701,0,10458.1037708559,0,12982.9705706917,0
"8",5839,7974.72129120966,0,11003.2822606672,0,8561.10497973916,0,11022.5778700202,0,13807.9589977351,0
"9",5842,8608.45067726398,0,9355.78989078881,0,8824.30325369497,0,9376.8657329653,0,12934.9767210349,0
"10",5843,8800.48438809982,0,10729.127785027,0,9245.57077177063,0,10758.4366974921,0,14144.0646969499,0
"11",5845,9262.67445011506,0,9885.3546217269,0,9475.58569671645,0,9905.46940544267,0,13778.7038945184,0
"12",5846,9494.82911725015,0,7705.07848543374,0,9271.67303516087,0,7729.67476756642,0,12226.8938190283,0
"13",5849,9259.5267419073,0,6401.07995768887,0,8820.67843152545,0,6431.31464611454,0,11056.9920958073,0
"14",5850,8871.92334466264,0,8693.68214173508,0,8846.2197385173,0,8692.23212189908,0,12578.6846034728,0
"15",5851,8891.99519346341,0,994.466414751256,0,7454.10521173351,0,981.735798397489,0,6550.24818197104,0
"16",5852,7491.16936167037,0,2079.18651244427,0,6450.28454799144,0,2090.66596839025,0,6509.31068119677,0
"17",5853,6435.39647663459,0,3333.48367651008,0,5764.08758613766,0,3344.84350076772,0,6806.68057245361,0
"18",5856,5689.94214356675,0,3135.82524931912,0,5093.44235580849,0,3144.63930710247,0,6164.54072366199,0
"19",5857,4988.69216752786,0,3788.30451920475,0,4588.95496373246,0,3760.91324892389,0,6192.56869088737,0
"20",5858,4545.99174312853,0,2195.8517493852,0,3954.64781934984,0,2178.56912110596,0,4663.05977590398,0
"21",5859,3938.95913846058,0,326.337347022367,0,3146.40059224878,0,336.377358449819,0,2823.63213570904,0
"22",5860,3074.57141674119,0,3273.50406591203,0,2920.88500309732,0,3241.99448142637,0,4539.92292133108,0
"23",5864,3030.77726727252,0,6192.103738786,0,3471.33950672889,0,6183.38867586451,0,6816.07679499833,0
"24",5865,3602.96565169387,0,978.858346101669,0,3045.79866553182,0,956.623987847778,0,3092.46586598305,0
"25",5866,3061.22687403715,0,25.6121366652653,0,2449.28774599585,0,24.5723075221894,0,2008.93466830464,0
"26",5867,2448.93759089204,0,1545.64404584385,0,2219.71411100773,0,1549.76424766252,0,2805.08873853164,0
"27",5870,2189.06457312008,0,3711.35454572455,0,2427.30102396319,0,3726.63768435021,0,4341.2514850101,0
"28",5871,2465.17886312543,0,3942.10605443166,0,2732.50964893522,0,3958.44696352312,0,4702.71376480338,0
"29",5872,2736.6548056981,0,7094.87232433873,0,3513.92172553108,0,7073.52178901535,0,7321.40524863989,0
"30",5873,3495.11430253853,0,3709.29710088992,0,3581.46294917419,0,3705.25639139178,0,5174.09795744656,0
"31",5874,3504.33331110085,0,6288.02808762509,0,4042.04850001124,0,6273.28061552483,0,7193.67053115113,0
"32",5877,3918.51773657351,0,8275.51563083865,0,4749.92574287354,0,8249.13908458641,0,9012.65812559282,0
"33",5878,4818.68957835114,0,10056.1790087091,0,5843.0558537693,0,10027.571432096,0,10993.3301676418,0
"34",5879,5852.9012362195,0,11404.8166331174,0,6971.27735458577,0,11377.4655737259,0,12724.9651265488,0
"35",5880,7027.18654263428,0,12336.1470839103,0,8141.70352038271,0,12312.9585284803,0,14222.1745705528,0
"36",5881,8163.42262571414,0,13029.0807754676,0,9238.31259038344,0,13020.8470714116,0,15515.6002224868,0
"37",5884,9259.70908728754,0,12383.0117993338,0,10033.7597079215,0,12375.2252030185,0,15721.0749628434,0
"38",5885,10052.8723908571,0,12942.2989588668,0,10811.9906013388,0,12964.0107825916,0,16697.0278943532,0
"39",5886,10730.9470315134,0,12209.7401965696,0,11250.2553167311,0,12252.9771390487,0,16579.9541369005,0
"40",5887,11254.9568744545,0,12970.1053838822,0,11784.7931235862,0,13012.9137256355,0,17515.7067244556,0
"41",5888,11791.2439682874,0,13341.0941716426,0,12269.2464811048,0,13383.751599865,0,18154.6268202097,0
"42",5892,12263.5389612638,0,11899.5233726355,0,12391.2309596362,0,11956.6474145126,0,17344.1656254246,0
"43",5893,12342.4879434784,0,12610.7190746165,0,12529.5250028973,0,12651.9382351593,0,17939.5059773979,0
"44",5894,12509.6552187245,0,13169.8149424866,0,12740.4830413235,0,13209.3170929657,0,18483.9263064608,0
"45",5895,12731.1825207793,0,11539.9716212266,0,12614.0200874742,0,11580.5071647408,0,17352.5330637142,0
"46",5898,12553.2566042177,0,12253.1269222507,0,12588.5855561031,0,12322.5593574054,0,17814.2327428254,0
"47",5899,12511.2522254492,0,6250.76105101401,0,11476.7461383585,0,6341.00890006303,0,13100.9902216855,0
"48",5900,11415.2174962948,0,7024.33323940149,0,10646.1055008833,0,7104.09052853149,0,12986.6502776708,0
"49",5901,10546.9432201466,0,6524.87853421829,0,9791.27778183826,0,6593.15721951595,0,12021.1151137576,0
"50",5902,9777.50348283427,0,8951.89870830527,0,9543.82156737733,0,8987.82317407426,0,13401.2475799166,0
"51",5905,9523.16285383914,0,9024.04601741855,0,9378.01266140522,0,9082.22426944973,0,13308.3566681281,0
"52",5906,9385.00568707144,0,10692.0187214806,0,9520.70652252906,0,10689.2550497815,0,14481.7874351362,0
"53",5907,9493.635826229,0,11915.6390675645,0,9862.88418463529,0,11911.9506935323,0,15512.0162199923,0
"54",5908,9911.9201684592,0,9490.6764103127,0,9814.94794402655,0,9496.46669822462,0,13886.9964958928,0
"55",5909,9744.82623219056,0,10707.912802833,0,9894.80872860383,0,10700.7618523732,0,14723.1362077601,0
"56",5912,9879.81691906039,0,11411.7523072773,0,10162.3986502714,0,11410.2599141802,0,15366.8430651958,0
"57",5913,10204.3019114759,0,5191.90500620538,0,9338.24999197311,0,5205.8194880587,0,10712.2707325221,0
"58",5914,9298.16181368683,0,7391.07701748281,0,8893.82123352945,0,7341.39818463248,0,11800.3586368958,0
"59",5915,8946.3529410565,0,9402.50021104977,0,9050.74147089695,0,9443.22603705086,0,13219.7473155063,0
"60",5916,9147.68025531982,0,10308.373393974,0,9416.29279383045,0,10369.3134014737,0,14075.4468985595,0
"61",5919,9419.51779003627,0,6008.2131574728,0,8810.73936102137,0,6001.82547049127,0,10834.0214995422,0
