"","date","","","","","","","","","",""
"1",5829,6412.83120782869,0,7766.34882573901,0,6780.70120570855,0,7915.35206596241,0,10314.8582780722,0
"2",5830,7028.13665196022,0,4493.90655229391,0,6679.54407396089,0,4589.03410976531,0,8136.46697503222,0
"3",5831,6792.98739763958,0,7590.08259661093,0,6977.08249543323,0,7657.93352680894,0,10382.5589320763,0
"4",5832,7071.48504726341,0,3499.8166543894,0,6433.05381840499,0,3506.59890543167,0,7333.32339481753,0
"5",5835,6428.9905468836,0,5991.47308176865,0,6275.80984558271,0,5963.46974454528,0,8836.51455734884,0
"6",5836,6314.84812429142,0,8249.45088858352,0,6498.35069876354,0,8126.23675210024,0,10459.6256051322,0
"7",5838,6575.41833568674,0,9819.06397073764,0,7049.19692410762,0,9728.0497732247,0,11887.2190634264,0
"8",5839,7304.61638224537,0,10289.2855382982,0,7797.95408381683,0,10222.09664958,0,12751.0789085357,0
"9",5842,7888.34115538075,0,8509.98028451148,0,8041.14756057737,0,8492.32466449386,0,11776.9179833529,0
"10",5843,8124.47002605834,0,10063.8255512907,0,8520.13452636281,0,10036.6770330431,0,13144.4424777979,0
"11",5845,8732.79782380554,0,9173.26177395009,0,8841.15192651502,0,9118.77697351835,0,12824.2861627798,0
"12",5846,8852.77490486706,0,6902.33273609547,0,8590.26758245626,0,6910.72623742915,0,11172.8580426617,0
"13",5849,8718.33669588282,0,5543.8317014053,0,8233.09497191544,0,5581.12417978554,0,10042.2181882667,0
"14",5850,8171.63869382473,0,7782.55286057977,0,8096.87050554924,0,7766.14418910977,0,11400.5348747336,0
"15",5851,8080.87805698614,0,1209.07077675645,0,6778.26285148211,0,1153.15315114594,0,6157.53521338708,0
"16",5852,6665.75833117816,0,2448.09659310315,0,5763.97829540334,0,2386.5603274001,0,6205.59408293877,0
"17",5853,5775.15103825422,0,3831.7393705743,0,5220.9611129035,0,3749.89335297961,0,6693.77264224406,0
"18",5856,5432.04174393472,0,3601.64127867737,0,4897.90686264358,0,3530.22378517545,0,6298.16192890861,0
"19",5857,4804.57365322111,0,4259.6955211234,0,4462.386785204,0,4161.43450696055,0,6381.85078637903,0
"20",5858,4709.17003224476,0,2556.24919272861,0,4100.8609833029,0,2466.3256014539,0,4995.6676009941,0
"21",5859,4087.16318687409,0,523.340554067235,0,3296.42872564235,0,499.924528607476,0,3052.05478657301,0
"22",5860,3537.27667935714,0,3663.91714002394,0,3309.78122593157,0,3548.57882785656,0,5079.51620864555,0
"23",5864,3299.91500390769,0,6651.25091454361,0,3698.72851044287,0,6558.80955881967,0,7282.30312649537,0
"24",5865,3721.31586310427,0,1035.17993625203,0,3177.01774121788,0,1028.5181153832,0,3226.83800842594,0
"25",5866,3200.57047380839,0,46.9223566468788,0,2588.55370378647,0,55.4029705378059,0,2123.8583790837,0
"26",5867,2597.86437641896,0,1510.53695751701,0,2305.86307770081,0,1483.85876450275,0,2843.11801249146,0
"27",5870,2265.77975849388,0,3572.263305782,0,2392.08614653074,0,3535.10852941312,0,4232.27709179238,0
"28",5871,2392.99336058939,0,3681.69293037166,0,2557.48660338912,0,3654.39023414968,0,4410.90988374204,0
"29",5872,2577.85889759522,0,6695.17080205384,0,3186.94028471404,0,6576.41872276747,0,6822.34578211025,0
"30",5873,3325.9062934876,0,3313.00128437018,0,3300.9132785473,0,3261.30777105044,0,4714.86136279038,0
"31",5874,3432.8326327595,0,5728.29806165266,0,3799.0646977889,0,5658.80250092107,0,6661.8463951224,0
"32",5877,3821.97475210794,0,7600.71909979798,0,4455.09232145146,0,7504.61352674995,0,8363.41081461377,0
"33",5878,4265.60716053933,0,9289.89039461823,0,5156.6355237724,0,9196.71583103681,0,9980.6297614796,0
"34",5879,5409.03124193912,0,10577.0412729397,0,6378.47890962011,0,10494.5694599831,0,11743.6005755788,0
"35",5880,6305.88090722215,0,11464.9826867585,0,7304.42720846433,0,11379.689022433,0,13022.6089689883,0
"36",5881,7445.61663363231,0,12112.0332419799,0,8411.72584942154,0,12051.4306176658,0,14290.9097899544,0
"37",5884,8563.09738456751,0,11405.6857190118,0,9224.81541670148,0,11346.9038053554,0,14466.5890187301,0
"38",5885,9271.7112828682,0,12061.5614594814,0,9991.02290978837,0,12067.1732201089,0,15488.1134079248,0
"39",5886,9890.01984744985,0,11242.0489015867,0,10378.4973968099,0,11281.1465980034,0,15276.6619081711,0
"40",5887,10327.3617223867,0,12019.6511558043,0,10838.7067553093,0,12052.1415626704,0,16162.670605906,0
"41",5888,10940.6636473545,0,12346.1735683138,0,11380.3436026844,0,12382.3700843012,0,16819.6813464272,0
"42",5892,11217.23223153,0,10817.3241752708,0,11355.1324983221,0,10891.4903508792,0,15834.1183236973,0
"43",5893,11372.8492264289,0,11503.8879058381,0,11552.4737981186,0,11564.4946105287,0,16459.4138956066,0
"44",5894,11501.3330954394,0,12059.1791999819,0,11736.6666076302,0,12128.9415416775,0,16982.7611995513,0
"45",5895,11701.1145849758,0,10327.7804268678,0,11556.6936705836,0,10380.5074852971,0,15748.6482135783,0
"46",5898,11612.0599559718,0,11376.2422925313,0,11689.2037214931,0,11492.8073017784,0,16549.6036492407,0
"47",5899,11561.2447826788,0,5284.74459251592,0,10636.0780563987,0,5486.07266341063,0,11818.4163819926,0
"48",5900,10518.3981998184,0,6040.86394264317,0,9815.69616117324,0,6203.14581063614,0,11700.6189162683,0
