"date","H1","ph1","H10","ph10"
1986-03-26,11172.9710630377,"1",9461.26877029595,"1"
1986-03-27,9292.28789631495,"1",7954.30907280698,"1"
1986-03-31,7852.0031729805,"1",6854.66661728338,"1"
1986-04-01,7173.55082603015,"1",6465.30765308622,"1"
1986-04-02,6783.78917672575,"1",5701.22794146713,"1"
1986-04-03,5628.21682666,"1",4515.59961378011,"1"
1986-04-04,4511.76030124448,"1",3543.2421060442,"1"
1986-04-07,3437.93799283806,"1",2698.23265124304,"1"
1986-04-08,2650.08928839969,"1",2440.22018739879,"1"
1986-04-09,2359.20045831046,"1",2785.39430369078,"1"
1986-04-10,3372.79457090816,"1",3890.88228899022,"1"
1986-04-11,4433.24335927666,"1",5201.79678287462,"1"
1986-04-14,5247.03176616698,"1",5844.15375780394,"1"
1986-04-15,5859.17531770017,"1",6525.12490254273,"1"
1986-04-16,6540.93270762626,"1",6826.51694417584,"1"
1986-04-17,6670.25973155344,"1",7238.81234754244,"1"
1986-04-18,6690.31506766594,"1",7161.91821567138,"1"
1986-04-21,7124.99135053681,"1",7605.47617319997,"1"
1986-04-22,7562.27096827183,"1",7627.27453030458,"1"
1986-04-23,7730.40990498833,"1",7603.29871107749,"1"
1986-04-24,7708.95419328475,"1",7545.41227699734,"1"
1986-04-25,7586.51749543153,"1",7610.83227662186,"1"
1986-04-28,8050.99314880097,"1",8072.56678740538,"1"
1986-04-29,8495.993359268,"1",8448.03874156797,"1"
1986-04-30,8637.97804540927,"1",8783.58990002869,"1"
1986-05-01,9006.95273581541,"1",8627.45201105588,"1"
1986-05-02,8923.89067237826,"1",7855.49539829138,"1"
1986-05-05,7976.75751838898,"1",6871.82137304518,"1"
1986-05-06,6638.40856884759,"1",6076.35924046004,"1"
1986-05-07,6118.79072129282,"1",6011.62234299005,"1"
1986-05-08,6330.82679322662,"1",6204.98658231141,"1"
1986-05-09,6414.8367842843,"1",6432.70761067145,"1"
1986-05-12,6422.4980079094,"1",5689.99669898677,"1"
1986-05-13,5880.56099242199,"1",5484.31508528367,"1"
1986-05-14,5650.88811674444,"1",5155.13690352475,"1"
1986-05-15,5111.96356753944,"1",5139.40651543643,"1"
1986-05-16,5219.17178811221,"1",4743.27071170505,"1"
1986-05-19,4811.7755403893,"1",4598.37868959391,"1"
1986-05-20,4716.97108739135,"1",3949.62382700622,"1"
1986-05-21,3869.71052001899,"1",3524.57527502797,"1"
1986-05-22,3573.18224636076,"1",2878.85499453841,"1"
1986-05-23,2829.51019567033,"1",2388.12369518959,"1"
1986-05-27,2531.22038804942,"1",2176.00011796135,"1"
1986-05-28,2196.8192800534,"1",1706.40879757261,"1"
1986-05-29,1793.51551447499,"1",1390.96150326916,"1"
