"","date","","","","","","","","","",""
"1",5829,4598.69369856485,0,5728.0258218141,0,4850.63318772752,0,5804.99819846107,0,7515.78225787968,0
"2",5830,4969.69105675675,0,4391.68514203352,0,4900.1760255688,0,4440.68111355098,0,6693.4108659745,0
"3",5831,5047.96479580114,0,7511.30894595251,0,5499.07392080261,0,7540.94987250275,0,9176.4826602564,0
"4",5832,5484.72224751834,0,2564.04895190667,0,4941.90552268064,0,2544.4579816266,0,5553.71370680894,0
"5",5835,4929.95830948582,0,5550.20297781449,0,4959.32641792901,0,5486.45731255541,0,7500.19264164829,0
"6",5836,4938.40311444988,0,6452.79511761921,0,5142.73856116353,0,6391.9671037928,0,8215.76993252233,0
"7",5838,5290.04078379051,0,8870.68399621762,0,5901.99382598559,0,8816.52398183089,0,10349.6404376056,0
"8",5839,5967.10727110449,0,9924.37606340852,0,6710.99036887636,0,9893.01958704951,0,11631.4122019923,0
"9",5842,6856.53365800958,0,9178.38378329498,0,7370.31968770548,0,9178.40329114296,0,11645.12961336,0
"10",5843,7326.12050749459,0,7412.47798431171,0,7478.87280834812,0,7441.16266801328,0,10583.5131177025,0
"11",5845,7491.88727064515,0,2894.82018758879,0,6715.99131045964,0,2877.72243335458,0,7109.98672537929,0
"12",5846,6758.73297507013,0,760.937380076395,0,5661.14106001948,0,700.74803338067,0,4954.48067540154,0
"13",5849,5530.75038704482,0,305.465434822562,0,4514.99953984967,0,279.824009511884,0,3819.29239142686,0
"14",5850,4693.89540057811,0,922.857745711056,0,3889.63069507989,0,898.427139473071,0,3756.87415135467,0
"15",5851,4115.46676134962,0,2339.17554208368,0,3626.99105890011,0,2284.63986865832,0,4476.37363629341,0
"16",5852,3469.13017322089,0,3777.50402476228,0,3360.59490195985,0,3737.05514640989,0,5193.95741528762,0
"17",5853,3293.91581516449,0,6113.55820781548,0,3630.36339795343,0,6034.15019304489,0,6888.31156980676,0
"18",5856,3922.1303237695,0,6322.90814458675,0,4227.35115904742,0,6249.34863162624,0,7463.38814372004,0
"19",5857,4017.08125359336,0,8809.4770391557,0,4656.71246004817,0,8597.26796403153,0,9371.96877654188,0
"20",5858,5164.81297830252,0,7635.26291028762,0,5440.53461654478,0,7429.56617078003,0,9192.83970100832,0
"21",5859,5863.7754834343,0,3969.53499454233,0,5468.26554606788,0,3864.68576435241,0,6839.3910192133,0
"22",5860,5465.47459392351,0,6016.45187235896,0,5450.81750319981,0,5834.62647833103,0,8140.20735885535,0
"23",5864,5420.30300401697,0,8441.10946897636,0,5891.58207679161,0,8287.18623209145,0,10035.4093476925,0
"24",5865,6067.15855150271,0,2080.97538310801,0,5407.7550231259,0,2046.85496480079,0,5550.63892754025,0
"25",5866,5667.63286395766,0,115.076557942589,0,4730.62545411545,0,130.812973818172,0,3784.44496742451,0
"26",5867,4571.99599735164,0,1191.2017168504,0,3910.65252541214,0,1151.67124552705,0,3884.23114769383,0
"27",5870,3741.84317235326,0,3141.66918089118,0,3528.11957973359,0,3092.44620144611,0,4869.56493407732,0
"28",5871,3793.60578710192,0,4043.97130925644,0,3726.58074634952,0,3994.70912299158,0,5610.30053277028,0
"29",5872,3857.26270968003,0,6601.90806793172,0,4182.2384187942,0,6475.91018386908,0,7603.36274647035,0
"30",5873,4166.17114356163,0,1903.62794194933,0,3689.29728496573,0,1873.08949859132,0,4177.13193459848,0
"31",5874,3908.32166683886,0,4076.18330414146,0,3836.75893280282,0,4019.51081690723,0,5698.23904181987,0
"32",5877,3747.04223542204,0,6877.66057392801,0,4165.04071871627,0,6761.91831702345,0,7749.89652116717,0
"33",5878,4071.36222075719,0,8945.19932237805,0,4866.69481868167,0,8839.06605654696,0,9590.30196012002,0
"34",5879,5082.45878782204,0,10424.7778581505,0,6040.11190283381,0,10334.4618952476,0,11419.274326035,0
"35",5880,6197.77200640829,0,11127.160041045,0,7132.55550770808,0,11049.7819432162,0,12701.9316724174,0
"36",5881,7112.67649029236,0,11835.7735521019,0,8072.34698734813,0,11777.2065216238,0,13866.0020845299,0
"37",5884,8264.4495078998,0,11747.0356661719,0,9038.03997514607,0,11698.0668720207,0,14549.6425533154,0
"38",5885,9128.03200116059,0,12247.0085080028,0,9920.41405207303,0,12272.3279978582,0,15554.7339907974,0
"39",5886,9724.19765802778,0,11763.0986634418,0,10347.1210884721,0,11819.0067744859,0,15582.5617997896,0
"40",5887,10372.2741829189,0,12423.1856827928,0,10966.9194126385,0,12469.409923682,0,16515.0505404432,0
"41",5888,11022.2054122572,0,12717.9145599636,0,11529.005975958,0,12767.8868840679,0,17170.3847234036,0
"42",5892,11396.0867149082,0,7879.26163777985,0,11033.5186881615,0,8023.35761571944,0,13687.6292702152,0
"43",5893,10967.6416805192,0,6349.04035903959,0,10284.6995463803,0,6434.51136140016,0,12166.7702764803,0
"44",5894,10093.7890884475,0,8357.52846855224,0,9842.87041527462,0,8432.55886341274,0,13168.5221968925,0
"45",5895,9656.94845055899,0,7704.16549826099,0,9310.3639157384,0,7768.21985037453,0,12362.7053485687,0
"46",5898,9408.92230775593,0,9730.75673796128,0,9494.55131760076,0,9852.23113467639,0,13828.9637177923,0
"47",5899,9396.12903181984,0,3502.7945053757,0,8419.79310535713,0,3678.61406359954,0,8983.53874766991,0
"48",5900,8286.6789600121,0,4469.34481533997,0,7611.73726959179,0,4611.08349512221,0,8994.82109050286,0
"49",5901,7511.53532777377,0,4207.72049320017,0,6886.37530947073,0,4331.53972121628,0,8270.4404177931,0
"50",5902,6752.29039699364,0,7287.27968527365,0,6775.92877349638,0,7364.34801269203,0,10163.0029670306,0
"51",5905,6609.01432858217,0,7352.70456138856,0,6713.39809396653,0,7447.15517013928,0,10128.0231997835,0
"52",5906,6769.34199192757,0,9426.28490022138,0,7203.54121905184,0,9462.0363726612,0,11819.429472886,0
"53",5907,7098.48328805037,0,10800.4027748756,0,7756.65888574725,0,10828.7847233099,0,13103.0847467519,0
"54",5908,7863.57081468277,0,9490.78138944468,0,8190.93561406896,0,9512.20611317878,0,12561.9867135263,0
"55",5909,8168.02857284545,0,10402.8605116737,0,8620.88982076957,0,10402.1457733226,0,13461.2675629211,0
"56",5912,8548.25673722523,0,10741.3155064432,0,9023.51386167404,0,10746.7063098962,0,13977.7049188841,0
"57",5913,8878.74068235929,0,6473.59324092627,0,8627.54538867514,0,6581.08151702605,0,10913.8847714437,0
"58",5914,8543.75111429777,0,6985.40370041267,0,8387.38439712838,0,7052.52262765372,0,11070.0518797488,0
"59",5915,8189.81327828481,0,8568.0038382803,0,8367.48082598563,0,8626.43426567478,0,12094.3480826565,0
"60",5916,8174.47301501772,0,9722.45480859651,0,8566.74741763585,0,9793.48083981728,0,12996.7617267577,0
"61",5919,8700.40501991653,0,7112.35920649401,0,8509.71563973391,0,7174.49177078767,0,11275.2739033279,0
"62",5920,8531.65907393573,0,9217.71425786275,0,8736.07479085919,0,9281.77675981576,0,12822.6956481244,0
